Toil_alone; Alfa_alone; Toil_6min; Alfa_6min; Toil_8min; Alfa_8min; Toil_10min; Alfa_10min; Toil_12min; Alfa_12min
0.566962; 0.86137; 1.90104; 0.46936; 1.67905; 0.33888; 1.54157; 0.252806; 1.42035; 0.172944
1.67392; 0.872439; 4.44524; 0.494802; 3.9222; 0.361312; 3.59889; 0.273379; 3.31421; 0.191882
2.9316; 0.885016; 6.9292; 0.519642; 6.10911; 0.383181; 5.60289; 0.293419; 5.1576; 0.210316
4.22498; 0.89795; 9.3337; 0.543687; 8.22343; 0.404324; 7.53888; 0.312779; 6.93722; 0.228112
5.52004; 0.910901; 11.6603; 0.566953; 10.2668; 0.424758; 9.40859; 0.331476; 8.65485; 0.245288
6.80677; 0.923768; 13.9111; 0.589461; 12.2415; 0.444505; 11.2142; 0.349532; 10.3126; 0.261866
8.08219; 0.936522; 16.0885; 0.611235; 14.1498; 0.463588; 12.9578; 0.366969; 11.9125; 0.277865
9.34546; 0.949155; 18.1947; 0.632297; 15.9937; 0.482027; 14.6417; 0.383807; 13.4567; 0.293307
10.5963; 0.961663; 20.232; 0.65267; 17.7755; 0.499845; 16.2679; 0.400069; 14.9472; 0.308212
11.8348; 0.974048; 22.2025; 0.672375; 19.4974; 0.517064; 17.8384; 0.415774; 16.386; 0.3226
13.0609; 0.986309; 24.1087; 0.691437; 21.1615; 0.533705; 19.3555; 0.430945; 17.7751; 0.336491
14.2747; 0.998447; 25.9526; 0.709875; 22.7699; 0.549789; 20.8209; 0.445599; 19.1163; 0.349903
15.4762; 1.01046; 27.7363; 0.727713; 24.3246; 0.565336; 22.2367; 0.459757; 20.4115; 0.362855
16.6655; 1.02235; 29.4621; 0.744971; 25.8276; 0.580366; 23.6048; 0.473438; 21.6625; 0.375365
17.8427; 1.03413; 31.1319; 0.761669; 27.2808; 0.594898; 24.9269; 0.486659; 22.8711; 0.387451
19.0079; 1.04578; 32.7478; 0.777828; 28.686; 0.60895; 26.2049; 0.499439; 24.0388; 0.399128
20.1611; 1.05731; 34.3116; 0.793466; 30.0452; 0.622542; 27.4404; 0.511794; 25.1672; 0.410412
21.3024; 1.06872; 35.8254; 0.808604; 31.3599; 0.635689; 28.635; 0.52374; 26.258; 0.42132
22.432; 1.08002; 37.2908; 0.823258; 32.6319; 0.64841; 29.7905; 0.535295; 27.3127; 0.431867
23.5499; 1.0912; 38.7098; 0.837448; 33.8629; 0.660719; 30.9082; 0.546472; 28.3326; 0.442066
