move_time_iter: 180
free_time_iter: 180
move_time_iter: 180
free_time_iter: 150
move_time_iter: 180
free_time_iter: 120
move_time_iter: 180
free_time_iter: 90
move_time_iter: 180
free_time_iter: 60
Toil_free60; Alfa_free60; Toil_free50; Alfa_free50; Toil_free40; Alfa_free40; Toil_free30; Alfa_free30; Toil_free20; Alfa_free20
15.3852; 0.604202; 15.3852; 0.604202; 15.3852; 0.604202; 15.3852; 0.604202; 15.3852; 0.604202
28.3411; 0.733761; 28.3411; 0.733761; 28.3411; 0.733761; 28.3411; 0.733761; 28.3411; 0.733761
38.7377; 0.837727; 38.7377; 0.837727; 38.7377; 0.837727; 38.7377; 0.837727; 38.7377; 0.837727
47.1319; 1.88962; 47.1319; 1.88962; 47.1319; 1.88962; 47.1319; 1.88962; 47.1319; 1.88962
53.9715; 2.629; 53.9715; 2.629; 53.9715; 2.629; 53.9715; 2.629; 53.9715; 2.629
59.6047; 3.45071; 59.6047; 3.45071; 59.6047; 3.45071; 59.6047; 3.45071; 59.6047; 3.45071
64.2964; 4.32798; 64.2964; 4.32798; 64.2964; 4.32798; 64.2964; 4.32798; 64.2964; 4.32798
68.2465; 5.23735; 68.2465; 5.23735; 68.2465; 5.23735; 68.2465; 5.23735; 68.2465; 5.23735
71.6053; 6.1594; 71.6053; 6.1594; 71.6053; 6.1594; 71.6053; 6.1594; 71.6053; 6.1594
74.486; 7.0785; 74.486; 7.0785; 74.486; 7.0785; 74.486; 7.0785; 74.486; 7.0785
76.9747; 7.98225; 76.9747; 7.98225; 76.9747; 7.98225; 76.9747; 7.98225; 76.9747; 7.98225
79.1377; 8.86092; 79.1377; 8.86092; 79.1377; 8.86092; 79.1377; 8.86092; 79.1377; 8.86092
81.0265; 9.70696; 81.0265; 9.70696; 81.0265; 9.70696; 81.0265; 9.70696; 81.0265; 9.70696
82.682; 10.5147; 82.682; 10.5147; 82.682; 10.5147; 82.682; 10.5147; 82.682; 10.5147
84.1373; 11.2801; 84.1373; 11.2801; 84.1373; 11.2801; 84.1373; 11.2801; 84.1373; 11.2801
85.4194; 12.0004; 85.4194; 12.0004; 85.4194; 12.0004; 85.4194; 12.0004; 85.4194; 12.0004
86.5507; 12.6741; 86.5507; 12.6741; 86.5507; 12.6741; 86.5507; 12.6741; 86.5507; 12.6741
87.5502; 13.3007; 87.5502; 13.3007; 87.5502; 13.3007; 87.5502; 13.3007; 87.5502; 13.3007
88.434; 13.8805; 88.434; 13.8805; 88.434; 13.8805; 88.434; 13.8805; 88.434; 13.8805
89.216; 14.4146; 89.216; 14.4146; 89.216; 14.4146; 89.216; 14.4146; 89.216; 14.4146
89.9082; 14.9045; 89.9082; 14.9045; 89.9082; 14.9045; 89.9082; 14.9045; 89.9082; 14.9045
90.5211; 15.3522; 90.5211; 15.3522; 90.5211; 15.3522; 90.5211; 15.3522; 90.5211; 15.3522
91.064; 15.7599; 91.064; 15.7599; 91.064; 15.7599; 91.064; 15.7599; 91.064; 15.7599
91.5449; 16.13; 91.5449; 16.13; 91.5449; 16.13; 91.5449; 16.13; 91.5449; 16.13
91.9709; 16.4652; 91.9709; 16.4652; 91.9709; 16.4652; 91.9709; 16.4652; 91.9709; 16.4652
92.3483; 16.768; 92.3483; 16.768; 92.3483; 16.768; 92.3483; 16.768; 92.3483; 16.768
92.6826; 17.0409; 92.6826; 17.0409; 92.6826; 17.0409; 92.6826; 17.0409; 92.6826; 17.0409
92.9788; 17.2863; 92.9788; 17.2863; 92.9788; 17.2863; 92.9788; 17.2863; 92.9788; 17.2863
93.2413; 17.5067; 93.2413; 17.5067; 93.2413; 17.5067; 93.2413; 17.5067; 93.2413; 17.5067
93.4737; 17.7044; 93.4737; 17.7044; 93.4737; 17.7044; 93.4737; 17.7044; 93.4737; 17.7044
93.6797; 17.8813; 93.6797; 17.8813; 93.6797; 17.8813; 93.6797; 17.8813; 93.6797; 17.8813
93.8622; 18.0395; 93.8622; 18.0395; 93.8622; 18.0395; 93.8622; 18.0395; 93.8622; 18.0395
94.0238; 18.1808; 94.0238; 18.1808; 94.0238; 18.1808; 94.0238; 18.1808; 94.0238; 18.1808
94.167; 18.3069; 94.167; 18.3069; 94.167; 18.3069; 94.167; 18.3069; 94.167; 18.3069
94.2938; 18.4194; 94.2938; 18.4194; 94.2938; 18.4194; 94.2938; 18.4194; 94.2938; 18.4194
94.4061; 18.5196; 94.4061; 18.5196; 94.4061; 18.5196; 94.4061; 18.5196; 94.4061; 18.5196
94.5057; 18.6088; 94.5057; 18.6088; 94.5057; 18.6088; 94.5057; 18.6088; 94.5057; 18.6088
94.5938; 18.6881; 94.5938; 18.6881; 94.5938; 18.6881; 94.5938; 18.6881; 94.5938; 18.6881
94.6719; 18.7587; 94.6719; 18.7587; 94.6719; 18.7587; 94.6719; 18.7587; 94.6719; 18.7587
