Toil_free60; Alfa_free60; Toil_free50; Alfa_free50; Toil_free40; Alfa_free40; Toil_free30; Alfa_free30; Toil_free20; Alfa_free20
0.697821; 0.457328; 0.697821; 0.457328; 0.697821; 0.457328; 0.697821; 0.457328; 0.697821; 0.457328
1.90104; 0.46936; 1.90104; 0.46936; 1.90104; 0.46936; 1.90104; 0.46936; 1.90104; 0.46936
3.17553; 0.482105; 3.17553; 0.482105; 3.17553; 0.482105; 3.17553; 0.482105; 3.17553; 0.482105
4.44524; 0.494802; 4.44524; 0.494802; 4.44524; 0.494802; 4.44524; 0.494802; 4.44524; 0.494802
5.69713; 0.507321; 5.69713; 0.507321; 5.69713; 0.507321; 5.69713; 0.507321; 5.69713; 0.507321
6.9292; 0.519642; 6.9292; 0.519642; 6.9292; 0.519642; 6.9292; 0.519642; 6.9292; 0.519642
8.14132; 0.531763; 8.14132; 0.531763; 8.14132; 0.531763; 8.14132; 0.531763; 8.14132; 0.531763
9.3337; 0.543687; 9.3337; 0.543687; 9.3337; 0.543687; 9.3337; 0.543687; 9.3337; 0.543687
10.5066; 0.555416; 10.5066; 0.555416; 10.5066; 0.555416; 10.5066; 0.555416; 10.5066; 0.555416
11.6603; 0.566953; 11.6603; 0.566953; 11.6603; 0.566953; 11.6603; 0.566953; 11.6603; 0.566953
12.795; 0.5783; 12.795; 0.5783; 12.795; 0.5783; 12.795; 0.5783; 12.795; 0.5783
13.9111; 0.589461; 13.9111; 0.589461; 13.9111; 0.589461; 13.9111; 0.589461; 13.9111; 0.589461
15.0089; 0.600438; 15.0089; 0.600438; 15.0089; 0.600438; 15.0089; 0.600438; 15.0089; 0.600438
16.0885; 0.611235; 16.0885; 0.611235; 16.0885; 0.611235; 16.0885; 0.611235; 16.0885; 0.611235
17.1504; 0.621854; 17.1504; 0.621854; 17.1504; 0.621854; 17.1504; 0.621854; 17.1504; 0.621854
18.1947; 0.632297; 18.1947; 0.632297; 18.1947; 0.632297; 18.1947; 0.632297; 18.1947; 0.632297
19.2218; 0.642568; 19.2218; 0.642568; 19.2218; 0.642568; 19.2218; 0.642568; 19.2218; 0.642568
20.232; 0.65267; 20.232; 0.65267; 20.232; 0.65267; 20.232; 0.65267; 20.232; 0.65267
